osmid,highway,lanes,name,ref,oneway,reversed,length,geometry,speed_kph,service,maxspeed,access,width,bridge,junction,tunnel
1330418542,footway,,,,False,True,7.049036747785066,"LINESTRING (121.2415446 14.1786109, 121.2416083 14.1785966)",30.0,,,,,,,
"[35602321, 1174216002, 1174216003]",service,,,,True,False,51.33113409451376,"LINESTRING (121.2415446 14.1786109, 121.2415355 14.1787422, 121.2415144 14.1789775, 121.2414881 14.1790214, 121.241473 14.1790292, 121.2414488 14.1790415)",25.846456692913385,,,,,,,
1174704944,footway,,,,False,True,4.968854851348811,"LINESTRING (121.2416083 14.1785966, 121.2416125 14.1785521)",30.0,,,,,,,
1330418542,footway,,,,False,False,7.049036747785066,"LINESTRING (121.2416083 14.1785966, 121.2415446 14.1786109)",30.0,,,,,,,
1330418542,footway,,,,False,True,21.317205193223227,"LINESTRING (121.2416083 14.1785966, 121.2418009 14.1785532)",30.0,,,,,,,
1174704944,footway,,,,False,False,29.803293081267512,"LINESTRING (121.2416083 14.1785966, 121.2416065 14.1786178, 121.2415819 14.1788634)",30.0,,,,,,,
1168438119,footway,,,,False,True,5.768222941047503,"LINESTRING (121.2418009 14.1785532, 121.2418064 14.1785016)",30.0,,,,,,,
1330418542,footway,,,,False,False,21.317205193223227,"LINESTRING (121.2418009 14.1785532, 121.2416083 14.1785966)",30.0,,,,,,,
1330418542,footway,,,,False,True,1.163013633239544,"LINESTRING (121.2418009 14.1785532, 121.2418114 14.1785508)",30.0,,,,,,,
"[1174711612, 1168438119]",footway,,,,False,False,20.046204097659746,"LINESTRING (121.2418009 14.1785532, 121.2417921 14.1786367, 121.2417837 14.1787327)",30.0,,,private,,,,
1174711611,footway,,,,False,True,5.757162451392323,"LINESTRING (121.2418114 14.1785508, 121.2418169 14.1784993)",30.0,,,,,,,
1330418542,footway,,,,False,False,1.163013633239544,"LINESTRING (121.2418114 14.1785508, 121.2418009 14.1785532)",30.0,,,,,,,
"[1174711611, 1174704941]",footway,,,,False,False,20.850810563913225,"LINESTRING (121.2418114 14.1785508, 121.2418072 14.1785901, 121.2417948 14.1787349, 121.2417946 14.1787376)",30.0,,,private,,,,
1330418542,footway,,,,False,True,46.646972076645824,"LINESTRING (121.2418114 14.1785508, 121.2421422 14.1784763, 121.2421268 14.1785653)",30.0,,,,,,,
23436240,unclassified,,Bangkal Extension,,False,False,6.47984172344302,"LINESTRING (121.2428022 14.178343, 121.2428202 14.1782874)",30.0,,30,,,,,
1330418542,footway,,,,False,True,29.304666384518455,"LINESTRING (121.2428022 14.178343, 121.2430687 14.1782911)",30.0,,,,,,,
23436240,unclassified,,Bangkal Extension,,False,True,42.85684011391941,"LINESTRING (121.2428022 14.178343, 121.2427722 14.1784149, 121.2426999 14.178565, 121.2426272 14.1786885)",30.0,,30,,,,,
1330418542,footway,,,,False,False,41.09983961768218,"LINESTRING (121.2428022 14.178343, 121.242596 14.1783837, 121.2424281 14.1784141)",30.0,,,,,,,
1174711355,footway,,,,False,True,5.528456311365308,"LINESTRING (121.2430687 14.1782911, 121.2430673 14.1782414)",30.0,,,,,,,
1330418542,footway,,,,False,False,29.304666384518455,"LINESTRING (121.2430687 14.1782911, 121.2428022 14.178343)",30.0,,,,,,,
1330418542,footway,,,,False,True,29.055903952392182,"LINESTRING (121.2430687 14.1782911, 121.2433322 14.1782362)",30.0,,,,,,,
1174711355,footway,,,,False,False,25.647794401569747,"LINESTRING (121.2430687 14.1782911, 121.2430705 14.1783585, 121.2430731 14.1784389, 121.2430741 14.1784612, 121.2430568 14.1785193)",30.0,,,,,,,
1174711353,service,,,,False,True,5.585319193308154,"LINESTRING (121.2433322 14.1782362, 121.2433234 14.1781867)",25.846456692913385,,,,,,,
